               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   CO
                   1                    0         0.0000000000000000E+00         3.0000000000000000E+02         0.0000000000000000E+00                   0                    0
                   2                 1000         1.2496319781224701E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                   3                 2000         2.5419613141047986E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                   4                 3000         3.8164048410098364E-09         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                   5                 4000         5.0418578521761823E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                   6                 5000         6.3314780748464823E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                   7                 6000         7.6723996883118792E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                   8                 7000         9.0089209679137081E-09         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                   9                 8000         1.0275848292373502E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  10                 9000         1.1558418633293083E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  11                10000         1.2853084467954335E-08         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                  12                11000         1.4117798160939163E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  13                12000         1.5393071582640722E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  14                13000         1.6584841808762759E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  15                14000         1.7813849622061329E-08         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                  16                15000         1.9112995585963257E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  17                16000         2.0409650555142144E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  18                17000         2.1804485225098629E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  19                18000         2.3090903674670415E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  20                19000         2.4390065304424528E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  21                20000         2.5707786452760199E-08         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                  22                21000         2.7004559223606402E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  23                22000         2.8313751141563526E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  24                23000         2.9563898795024191E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  25                24000         3.0796259284290621E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  26                25000         3.1927719154270375E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  27                26000         3.3232449679426399E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  28                27000         3.4502331459336203E-08         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                  29                28000         3.5786753428396891E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  30                29000         3.7065843294477994E-08         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                  31                30000         3.8458187769634249E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  32                31000         3.9742306301181627E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  33                32000         4.0932180486800274E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  34                33000         4.2086036963311660E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  35                34000         4.3386783413361975E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  36                35000         4.4721354654618151E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  37                36000         4.5850573909442902E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  38                37000         4.7078547679107016E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  39                38000         4.8325588190899825E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  40                39000         4.9588582863688249E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  41                40000         5.0892965601941479E-08         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                  42                41000         5.2215513877474930E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  43                42000         5.3486755678331717E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  44                43000         5.4871595654321745E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  45                44000         5.6110593869065225E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  46                45000         5.7511793633665781E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  47                46000         5.8766031948913651E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  48                47000         6.0063969673173196E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  49                48000         6.1347009940645248E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  50                49000         6.2683110966566682E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  51                50000         6.3877024512282659E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  52                51000         6.5140614899391538E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  53                52000         6.6370842702346950E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  54                53000         6.7722908269204197E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  55                54000         6.8970783235185378E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  56                55000         7.0195258175687931E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  57                56000         7.1405344724313120E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  58                57000         7.2803662226417372E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  59                58000         7.4097419635836759E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  60                59000         7.5402949688049089E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  61                60000         7.6675228222742663E-08         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                  62                61000         7.8022299611515312E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  63                62000         7.9283722997464815E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  64                63000         8.0569614370063575E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  65                64000         8.1903810454847219E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  66                65000         8.3174417497723870E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  67                66000         8.4534935821461735E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  68                67000         8.5717095508110713E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  69                68000         8.7029008059705030E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  70                69000         8.8174858438420000E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  71                70000         8.9440125295949595E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  72                71000         9.0701335241415862E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  73                72000         9.2036637071125408E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  74                73000         9.3354821575428832E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  75                74000         9.4578979236296721E-08         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                  76                75000         9.5863098211463192E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  77                76000         9.7088337188150403E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  78                77000         9.8376190284687768E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  79                78000         9.9581960914595099E-08         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  80                79000         1.0086976936197897E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  81                80000         1.0220314537280105E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  82                81000         1.0343863737805256E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  83                82000         1.0468112361123289E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  84                83000         1.0591142346855094E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  85                84000         1.0724311187536090E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  86                85000         1.0849064037417453E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  87                86000         1.0989112033043975E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  88                87000         1.1112922517420063E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  89                88000         1.1241824823210633E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  90                89000         1.1371350022676625E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  91                90000         1.1494850616348275E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  92                91000         1.1613624692780379E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  93                92000         1.1731509940763178E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  94                93000         1.1869032967782581E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  95                94000         1.1993391332692671E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  96                95000         1.2121067872360157E-07         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                  97                96000         1.2249098359358769E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  98                97000         1.2378874667353059E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                  99                98000         1.2503609037395688E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
                 100                99000         1.2635074374264298E-07         3.0000000000000000E+02        -1.7359999999999992E+01                  40                  -40
