               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   CO
                   1                    0         0.0000000000000000E+00         3.0000000000000000E+02         0.0000000000000000E+00                   0                    0
                   2                 1000         1.2666401573530578E-07         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   3                 2000         2.6034051877673698E-07         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   4                 3000         3.8232104734616901E-07         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                   5                 4000         5.1329450897278209E-07         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   6                 5000         6.4776905453973124E-07         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   7                 6000         7.8939253381603348E-07         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   8                 7000         9.1854259443232721E-07         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   9                 8000         1.0481650900321673E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  10                 9000         1.1848149751942751E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  11                10000         1.3058790789509704E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  12                11000         1.4390264851888769E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  13                12000         1.5705658682715538E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  14                13000         1.7003310688007213E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  15                14000         1.8268550903271472E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  16                15000         1.9607007449582457E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  17                16000         2.0955066434084153E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  18                17000         2.2405043970945400E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  19                18000         2.3673288976370224E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  20                19000         2.5003102974980278E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  21                20000         2.6350433683729583E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  22                21000         2.7629544677714392E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  23                22000         2.8857806167072170E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  24                23000         3.0126706452053378E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  25                24000         3.1296624112725405E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  26                25000         3.2477541331448050E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  27                26000         3.3747443256815348E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  28                27000         3.5084235578723338E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  29                28000         3.6329062055483648E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  30                29000         3.7603999262512731E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  31                30000         3.8891115203206054E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  32                31000         4.0293963058625001E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  33                32000         4.1513664604823688E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  34                33000         4.2788234148593632E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  35                34000         4.4119119428524984E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  36                35000         4.5465226090667536E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  37                36000         4.6606095960015683E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  38                37000         4.7875546356531475E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  39                38000         4.9152336939120649E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  40                39000         5.0484463445715399E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  41                40000         5.1825422262904616E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  42                41000         5.3205183742202812E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  43                42000         5.4421753845406025E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
