               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                 CH4*                   CO                  CH4
                   1                    0         0.0000000000000000E+00         3.0000000000000000E+02         0.0000000000000000E+00                   0                    0                    0                    0
                   2                 1000         4.0243373648832748E-09         3.0000000000000000E+02        -1.0251999999999997E+01                   6                   32                   -6                  -32
                   3                 2000         8.3123183882579735E-09         3.0000000000000000E+02        -9.9499999999999993E+00                   2                   38                   -2                  -38
                   4                 3000         1.2420200367370181E-08         3.0000000000000000E+02        -1.0836999999999987E+01                   9                   29                   -9                  -29
                   5                 4000         1.6599251318333606E-08         3.0000000000000000E+02        -8.9059999999999828E+00                   4                   30                   -4                  -30
                   6                 5000         2.0769808198911568E-08         3.0000000000000000E+02        -9.2959999999999816E+00                   6                   28                   -6                  -28
                   7                 6000         2.4882592136649335E-08         3.0000000000000000E+02        -7.2769999999999886E+00                   3                   25                   -3                  -25
                   8                 7000         2.9337764792643839E-08         3.0000000000000000E+02        -1.0817999999999977E+01                   4                   38                   -4                  -38
                   9                 8000         3.3364686641037374E-08         3.0000000000000000E+02        -9.1009999999999778E+00                   5                   29                   -5                  -29
                  10                 9000         3.7439378109695078E-08         3.0000000000000000E+02        -1.0641999999999973E+01                   8                   30                   -8                  -30
                  11                10000         4.1382864843141311E-08         3.0000000000000000E+02        -1.0836999999999971E+01                   9                   29                   -9                  -29
                  12                11000         4.5498109701123191E-08         3.0000000000000000E+02        -9.1889999999999805E+00                   3                   33                   -3                  -33
                  13                12000         4.9583851632069013E-08         3.0000000000000000E+02        -7.6669999999999803E+00                   5                   23                   -5                  -23
                  14                13000         5.3839149244193015E-08         3.0000000000000000E+02        -8.8179999999999712E+00                   6                   26                   -6                  -26
                  15                14000         5.7810300920462527E-08         3.0000000000000000E+02        -9.0129999999999804E+00                   7                   25                   -7                  -25
                  16                15000         6.1682083043772922E-08         3.0000000000000000E+02        -1.0534999999999989E+01                   5                   35                   -5                  -35
                  17                16000         6.5632603827068955E-08         3.0000000000000000E+02        -9.6859999999999786E+00                   8                   26                   -8                  -26
                  18                17000         6.9706147770137132E-08         3.0000000000000000E+02        -9.7739999999999814E+00                   6                   30                   -6                  -30
                  19                18000         7.3871946038411585E-08         3.0000000000000000E+02        -8.0379999999999718E+00                   2                   30                   -2                  -30
                  20                19000         7.7829777088431366E-08         3.0000000000000000E+02        -7.8619999999999566E+00                   6                   22                   -6                  -22
                  21                20000         8.1993175665647245E-08         3.0000000000000000E+02        -7.1009999999999422E+00                   7                   17                   -7                  -17
                  22                21000         8.5897242542220183E-08         3.0000000000000000E+02        -7.8619999999999406E+00                   6                   22                   -6                  -22
                  23                22000         8.9837063807791356E-08         3.0000000000000000E+02        -9.8619999999999433E+00                   4                   34                   -4                  -34
                  24                23000         9.4079523930929876E-08         3.0000000000000000E+02        -9.8809999999999203E+00                   9                   25                   -9                  -25
                  25                24000         9.8164213712031496E-08         3.0000000000000000E+02        -1.1119999999999914E+01                   8                   32                   -8                  -32
                  26                25000         1.0214389334531478E-07         3.0000000000000000E+02        -7.5789999999999065E+00                   7                   19                   -7                  -19
                  27                26000         1.0617938803493379E-07         3.0000000000000000E+02        -7.9499999999999007E+00                   4                   26                   -4                  -26
                  28                27000         1.1052081251868754E-07         3.0000000000000000E+02        -1.1597999999999896E+01                   8                   34                   -8                  -34
                  29                28000         1.1460181948048017E-07         3.0000000000000000E+02        -9.6669999999999092E+00                   3                   35                   -3                  -35
                  30                29000         1.1879205461723100E-07         3.0000000000000000E+02        -7.8619999999998900E+00                   6                   22                   -6                  -22
                  31                30000         1.2301308065979803E-07         3.0000000000000000E+02        -9.9499999999999069E+00                   2                   38                   -2                  -38
                  32                31000         1.2719214842550464E-07         3.0000000000000000E+02        -7.5599999999999028E+00                   2                   28                   -2                  -28
                  33                32000         1.3111179361974781E-07         3.0000000000000000E+02        -7.8429999999999067E+00                   1                   31                   -1                  -31
                  34                33000         1.3536206080890423E-07         3.0000000000000000E+02        -1.1226999999999906E+01                  11                   27                  -11                  -27
                  35                34000         1.3948058240229125E-07         3.0000000000000000E+02        -1.0339999999999927E+01                   4                   36                   -4                  -36
                  36                35000         1.4355036714973541E-07         3.0000000000000000E+02        -9.5789999999999260E+00                   5                   31                   -5                  -31
                  37                36000         1.4754674885801428E-07         3.0000000000000000E+02        -1.1295999999999934E+01                   4                   40                   -4                  -40
                  38                37000         1.5165786836020525E-07         3.0000000000000000E+02        -7.6669999999999083E+00                   5                   23                   -5                  -23
                  39                38000         1.5609229714224096E-07         3.0000000000000000E+02        -7.8619999999999104E+00                   6                   22                   -6                  -22
                  40                39000         1.6038875377578943E-07         3.0000000000000000E+02        -1.0534999999999901E+01                   5                   35                   -5                  -35
                  41                40000         1.6466258941587051E-07         3.0000000000000000E+02        -1.0056999999999894E+01                   5                   33                   -5                  -33
                  42                41000         1.6860621941816777E-07         3.0000000000000000E+02        -9.8619999999998900E+00                   4                   34                   -4                  -34
                  43                42000         1.7265716121321215E-07         3.0000000000000000E+02        -9.6859999999998685E+00                   8                   26                   -8                  -26
                  44                43000         1.7696202811318805E-07         3.0000000000000000E+02        -9.3839999999998458E+00                   4                   32                   -4                  -32
                  45                44000         1.8106019056836142E-07         3.0000000000000000E+02        -5.3649999999998288E+00                   3                   17                   -3                  -17
