               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   CO
                   1                    0         0.0000000000000000E+00         3.0000000000000000E+02         0.0000000000000000E+00                   0                    0
                   2                 1000         1.5700487842591711E-09         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                   3                 2000         3.1732112224512820E-09         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                   4                 3000         4.7571265165350896E-09         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                   5                 4000         6.3258510904084855E-09         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                   6                 5000         7.8761808752836798E-09         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                   7                 6000         9.5255904531482772E-09         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                   8                 7000         1.1108074525532736E-08         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                   9                 8000         1.2653923377550144E-08         3.0000000000000000E+02        -1.2151999999999996E+01                  28                  -28
                  10                 9000         1.4275852496780093E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  11                10000         1.5836119429077167E-08         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  12                11000         1.7334846547364165E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  13                12000         1.8882132741723560E-08         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  14                13000         2.0382601340437179E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  15                14000         2.1922376243881505E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  16                15000         2.3509346200656269E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  17                16000         2.5161969371802218E-08         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  18                17000         2.6846190895847951E-08         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  19                18000         2.8301019140736343E-08         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  20                19000         2.9867799466841195E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  21                20000         3.1457690032026451E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  22                21000         3.3048003229031432E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  23                22000         3.4555757704551114E-08         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  24                23000         3.5999301075622251E-08         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  25                24000         3.7510430171940298E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  26                25000         3.8963729878637732E-08         3.0000000000000000E+02        -1.6491999999999990E+01                  38                  -38
                  27                26000         4.0579376468599838E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  28                27000         4.2121218854468243E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  29                28000         4.3588342131616978E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  30                29000         4.5173756592259346E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  31                30000         4.6851678434607468E-08         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  32                31000         4.8290196418336987E-08         3.0000000000000000E+02        -1.1283999999999997E+01                  26                  -26
                  33                32000         4.9812864778371769E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  34                33000         5.1341449288642316E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  35                34000         5.2957173385612842E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  36                35000         5.4459958843423362E-08         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  37                36000         5.5910498217009579E-08         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  38                37000         5.7478411237717608E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  39                38000         5.9040344359513706E-08         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  40                39000         6.0551981581520248E-08         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  41                40000         6.2122282510783998E-08         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  42                41000         6.3753891587976501E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  43                42000         6.5333850461572016E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  44                43000         6.6902384349970538E-08         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  45                44000         6.8406603177937959E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  46                45000         7.0065353906447526E-08         3.0000000000000000E+02        -1.2151999999999996E+01                  28                  -28
                  47                46000         7.1505110671859711E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  48                47000         7.3044822697900971E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  49                48000         7.4639695292427012E-08         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
                  50                49000         7.6249483922708805E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  51                50000         7.7725795855689903E-08         3.0000000000000000E+02        -1.4755999999999991E+01                  34                  -34
                  52                51000         7.9167027979472612E-08         3.0000000000000000E+02        -1.5623999999999990E+01                  36                  -36
                  53                52000         8.0683140629945484E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  54                53000         8.2280787616701768E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  55                54000         8.3688995822689668E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  56                55000         8.5196731240801404E-08         3.0000000000000000E+02        -1.3887999999999993E+01                  32                  -32
                  57                56000         8.6647832067040549E-08         3.0000000000000000E+02        -1.3019999999999994E+01                  30                  -30
