               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   CO
                   1                    0         0.0000000000000000E+00         3.0000000000000000E+02         0.0000000000000000E+00                   0                    0
                   2                 1000         1.0320527086473274E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   3                 2000         1.9786455431775399E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   4                 3000         2.9211318003936438E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   5                 4000         3.9122230125369355E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   6                 5000         4.8875674532036411E-06         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                   7                 6000         5.8982715626552612E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   8                 7000         6.9189807792927719E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                   9                 8000         7.9060779331966970E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  10                 9000         8.9749955162441664E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  11                10000         9.9303441868838141E-06         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  12                11000         1.0973366202835210E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  13                12000         1.1992597795216872E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  14                13000         1.2972623350664730E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  15                14000         1.4022923153057910E-05         3.0000000000000000E+02        -8.6800000000000010E-01                   2                   -2
                  16                15000         1.5054546240369006E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  17                16000         1.6056984027692270E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  18                17000         1.7070237326982066E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  19                18000         1.8023201169220103E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  20                19000         1.9027477260858982E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  21                20000         2.0061267993101858E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  22                21000         2.1085129424728590E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  23                22000         2.2100551371865535E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  24                23000         2.3067414886353630E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  25                24000         2.4068846808463720E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  26                25000         2.4976126559379895E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  27                26000         2.6020122449832519E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
                  28                27000         2.7019469585739596E-05         3.0000000000000000E+02        -1.1102230246251565E-16                   0                    0
